Team,Player,month,m,x_1,x_2,Intercept,WPA,Cent%,BABIP,BB/K,LD%,GB%,Oppo%,FB%,HR/FB,Pull%
,,9,41,8,7,1,-0.241666667,0.006833333,-0.049833333,-0.128333333,-0.112833333,0.020166667,0.0795,0.092666667,-0.03,-0.086333333
,Tony Kemp,4,30,6,1,1,-0.061666667,-0.043833333,-0.034,-0.628333333,-0.168833333,0.091666667,0.1015,0.077166667,-0.0525,-0.0575
,,5,48,14,4,1,-0.011666667,-0.180833333,0.038,-1.068333333,0.136166667,-0.113333333,0.0955,-0.022833333,0.0105,0.0855
,,6,72,21,10,1,0.668333333,-0.069833333,0.01,-0.318333333,0.012166667,-0.008333333,-0.0155,-0.003833333,0.0625,0.0855
,,7,57,11,3,1,-1.031666667,0.171166667,-0.013,-1.448333333,0.043166667,-0.020333333,-0.0625,-0.022833333,-0.0525,-0.1085
,,8,40,13,4,1,0.108333333,0.028166667,0.029,1.231666667,-0.029833333,0.031666667,-0.0855,-0.001833333,0.0105,0.0565
,,9,72,20,2,1,0.328333333,0.095166667,-0.03,2.231666667,0.007166667,0.018666667,-0.0335,-0.025833333,0.0215,-0.0615
SEA,Mitch Haniger,4,101,28,14,1,0.651666667,-0.007833333,0.026833333,-0.04,-0.008833333,0.028166667,0.019666667,-0.0185,-0.006666667,-0.011166667
,,5,102,25,14,1,0.151666667,-0.025833333,-0.029166667,0.05,-0.017833333,0.000166667,-0.014333333,0.0175,0.043333333,0.039833333
,,6,99,25,7,1,-0.508333333,-0.050833333,0.029833333,-0.21,0.018166667,0.052166667,-0.031333333,-0.0705,-0.039666667,0.082833333
,,7,93,25,9,1,0.441666667,-0.042833333,0.006833333,0.06,0.037166667,-0.047833333,0.058666667,0.0105,0.034333333,-0.016166667
,,8,108,23,7,1,-1.268333333,0.091166667,-0.032166667,0.11,-0.014833333,0.023166667,-0.050333333,-0.0085,-0.081666667,-0.041166667
,,9,104,27,12,1,0.531666667,0.036166667,-0.002166667,0.03,-0.013833333,-0.055833333,0.017666667,0.0695,0.050333333,-0.054166667
,Kyle Seager,4,104,26,14,1,0.778333333,-0.029,0.063,-0.123333333,0.042166667,-0.036166667,0.063666667,-0.006,-0.06,-0.034666667
,,5,98,18,9,1,-0.641666667,0.05,-0.05,0.036666667,-0.008833333,-0.012166667,-0.061333333,0.021,-0.006,0.011333333
,,6,99,21,8,1,-0.921666667,-0.031,0.072,-0.193333333,0.029166667,-0.023166667,0.006666667,-0.006,-0.027,0.024333333
,,7,84,20,9,1,-0.401666667,-0.039,-0.019,0.316666667,-0.049833333,0.070833333,-0.041333333,-0.021,0.09,0.080333333
,,8,108,21,13,1,-1.011666667,-0.017,-0.064,0.016666667,-0.010833333,-0.014166667,-0.054333333,0.025,0.049,0.071333333
,,9,97,19,10,1,2.198333333,0.066,-0.002,-0.053333333,-0.001833333,0.014833333,0.086666667,-0.013,-0.046,-0.152666667
TEX,Adolis Garcia,4,66,16,7,1,0.633333333,-0.008833333,-0.016166667,-0.028333333,0.023833333,0.0305,-0.009,-0.0545,0.125833333,0.017666667
,,5,109,34,13,1,0.833333333,0.056166667,0.032833333,0.041666667,0.027833333,-0.0675,-0.001,0.0395,0.106833333,-0.055333333
,,6,95,23,9,1,0.163333333,-0.029833333,0.011833333,0.031666667,-0.021166667,0.1285,0.039,-0.1065,0.003833333,-0.009333333
,,7,88,19,9,1,-0.816666667,-0.000833333,-0.014166667,-0.028333333,-0.041166667,-0.0895,0.051,0.1305,-0.110166667,-0.050333333
,,8,110,25,14,1,-0.396666667,-0.001833333,0.000833333,0.051666667,0.031833333,-0.0465,-0.021,0.0145,0.006833333,0.023666667
,,9,102,22,7,1,-0.416666667,-0.014833333,-0.015166667,-0.068333333,-0.021166667,0.0445,-0.059,-0.0235,-0.133166667,0.073666667
,Nathaniel Lowe,4,101,28,9,1,0.448333333,-0.113166667,0.009333333,-0.131666667,0.062666667,-0.058166667,0.060666667,-0.005,0.156666667,0.052166667
,,5,100,22,6,1,-0.371666667,0.000833333,-0.017666667,0.038333333,0.050666667,-0.067166667,0.014666667,0.016,-0.054333333,-0.015833333
,,6,83,23,5,1,-0.011666667,0.084833333,0.004333333,0.028333333,-0.024333333,0.033833333,-0.026333333,-0.01,-0.041333333,-0.058833333
,,7,74,18,5,1,0.018333333,-0.046166667,-0.007666667,0.088333333,-0.043333333,-0.034166667,0.015666667,0.079,-0.048333333,0.032166667
,,8,98,28,11,1,0.008333333,0.043833333,0.047333333,-0.351666667,0.005666667,0.026833333,-0.025333333,-0.033,-0.041333333,-0.018833333
,,9,90,23,8,1,-0.091666667,0.029833333,-0.035666667,0.328333333,-0.051333333,0.098833333,-0.039333333,-0.047,0.028666667,0.009166667
Atlanta Braves,Matt Olson,4,81,24,11,1,0.535,-0.031166667,0.031833333,-0.366666667,0.019833333,0.048,-0.020666667,-0.068166667,0.054166667,0.051833333
,,5,97,22,14,1,0.145,0.000833333,-0.063166667,0.083333333,-0.052166667,-0.035,0.002333333,0.087833333,-0.028833333,-0.003166667
,,6,100,34,13,1,0.065,0.031833333,0.082833333,-0.196666667,0.036833333,-0.029,0.002333333,-0.008166667,-0.001833333,-0.034166667
,,7,83,21,14,1,-0.785,0.007833333,-0.046166667,0.193333333,-0.036166667,-0.012,-0.061666667,0.048833333,0.010166667,0.053833333
,,8,95,24,9,1,-0.145,-0.002166667,0.002833333,0.043333333,-0.018166667,0.122,0.072333333,-0.104166667,0.004166667,-0.070166667
